,Element-type,Size,Shape,Data-type
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/horProjSigma,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/horProjection,Dataset,1600,"(1600,)",float64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/imageRawData,Dataset,1920000,"(1200, 1600)",int16
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/imageTimeStamp,Dataset,1,"(1,)",int64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensityAvg,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensityHistogram,Dataset,1000,"(1000,)",int32
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensityRMS,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensitySigma,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/pixelSize,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/verProjAmp,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/verProjAvg,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/verProjSigma,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/verProjection,Dataset,1200,"(1200,)",float64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/width,Dataset,1,"(1,)",int32
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings,Group,,,
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/delayTime,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/exposureTime,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/gain,Dataset,1,"(1,)",int64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/triggerMode,Dataset,1,"(1,)",|S2
AwakeEventData/BOVWA.07TCC4.AWAKECAM07,Group,,,
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage,Group,,,
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/beamIntensity,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/beamSize,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/cogX,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/cogY,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/height,Dataset,1,"(1,)",int32
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/horProjAmp,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/horProjAvg,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/horProjSigma,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/horProjection,Dataset,1600,"(1600,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/imageRawData,Dataset,1920000,"(1200, 1600)",int16
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/imageTimeStamp,Dataset,1,"(1,)",int64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/intensityAvg,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/intensityHistogram,Dataset,1000,"(1000,)",int32
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/intensityRMS,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/intensitySigma,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/pixelSize,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/verProjAmp,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/verProjAvg,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/verProjSigma,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/verProjection,Dataset,1200,"(1200,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/width,Dataset,1,"(1,)",int32
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings,Group,,,
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings/delayTime,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings/exposureTime,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings/gain,Dataset,1,"(1,)",int64
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings/triggerMode,Dataset,1,"(1,)",|S2
AwakeEventData/BOVWA.11TCC4.AWAKECAM11,Group,,,
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage,Group,,,
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/beamIntensity,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/beamSize,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/cogX,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/cogY,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/height,Dataset,1,"(1,)",int32
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/horProjAmp,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/horProjAvg,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/horProjSigma,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/horProjection,Dataset,1280,"(1280,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/imageRawData,Dataset,1228800,"(960, 1280)",int16
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/imageTimeStamp,Dataset,1,"(1,)",int64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/intensityAvg,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/intensityHistogram,Dataset,1000,"(1000,)",int32
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/intensityRMS,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/intensitySigma,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/pixelSize,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/verProjAmp,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/verProjAvg,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/verProjSigma,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/verProjection,Dataset,960,"(960,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/width,Dataset,1,"(1,)",int32
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings,Group,,,
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/delayTime,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/exposureTime,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/gain,Dataset,1,"(1,)",int64
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/triggerMode,Dataset,1,"(1,)",|S2
AwakeEventData/BPM.AWAKE.TT41,Group,,,
AwakeEventData/BPM.AWAKE.TT41/Acquisition,Group,,,
AwakeEventData/BPM.AWAKE.TT41/Acquisition/bpmNames,Dataset,32,"(32,)",|S15
AwakeEventData/BPM.AWAKE.TT41/Acquisition/dynDestination,Dataset,1,"(1,)",|S5
AwakeEventData/BPM.AWAKE.TT41/Acquisition/horPosOk,Dataset,0,"(0,)",No NumPy equivalent for TypeBitfieldID exists
AwakeEventData/BPM.AWAKE.TT41/Acquisition/horPosition,Dataset,32,"(32,)",float32
AwakeEventData/BPM.AWAKE.TT41/Acquisition/nbOfBpms,Dataset,1,"(1,)",int16
AwakeEventData/BPM.AWAKE.TT41/Acquisition/verPosOk,Dataset,0,"(0,)",No NumPy equivalent for TypeBitfieldID exists
AwakeEventData/BPM.AWAKE.TT41/Acquisition/verPosition,Dataset,32,"(32,)",float32
AwakeEventData/BTV.TT41.412354_FILTER,Group,,,
AwakeEventData/BTV.TT41.412354_FILTER/Acquisition,Group,,,
AwakeEventData/BTV.TT41.412354_FILTER/Acquisition/position,Dataset,1,"(1,)",int32
AwakeEventData/BTV.TT41.412426_FWHEEL,Group,,,
AwakeEventData/BTV.TT41.412426_FWHEEL/Acquisition,Group,,,
AwakeEventData/BTV.TT41.412426_FWHEEL/Acquisition/position,Dataset,1,"(1,)",int32
AwakeEventData/BTV.TT41.412426_MASK_H,Group,,,
AwakeEventData/BTV.TT41.412426_MASK_H/Acquisition,Group,,,
AwakeEventData/BTV.TT41.412426_MASK_H/Acquisition/position,Dataset,1,"(1,)",int32
AwakeEventData/BTV.TT41.412426_MASK_V,Group,,,
AwakeEventData/BTV.TT41.412426_MASK_V/Acquisition,Group,,,
AwakeEventData/BTV.TT41.412426_MASK_V/Acquisition/position,Dataset,1,"(1,)",int32
AwakeEventData/BTV.TT41.412442_FWHEEL,Group,,,
AwakeEventData/BTV.TT41.412442_FWHEEL/Acquisition,Group,,,
AwakeEventData/BTV.TT41.412442_FWHEEL/Acquisition/position,Dataset,1,"(1,)",int32
AwakeEventData/BTV.TT41.412442_MASK_H,Group,,,
AwakeEventData/BTV.TT41.412442_MASK_H/Acquisition,Group,,,
AwakeEventData/BTV.TT41.412442_MASK_H/Acquisition/position,Dataset,1,"(1,)",int32
AwakeEventData/BTV.TT41.412442_MASK_V,Group,,,
AwakeEventData/BTV.TT41.412442_MASK_V/Acquisition,Group,,,
AwakeEventData/BTV.TT41.412442_MASK_V/Acquisition/position,Dataset,1,"(1,)",int32
AwakeEventData/EMETER02,Group,,,
AwakeEventData/EMETER02/Acq,Group,,,
AwakeEventData/EMETER02/Acq/outOfRange,Dataset,1,(),bool
AwakeEventData/EMETER02/Acq/value,Dataset,1,"(1,)",float32
AwakeEventData/EMETER02/Acq/value_units,Dataset,1,"(1,)",|S1
AwakeEventData/EMETER03,Group,,,
AwakeEventData/EMETER03/Acq,Group,,,
AwakeEventData/EMETER03/Acq/outOfRange,Dataset,1,(),bool
AwakeEventData/EMETER03/Acq/value,Dataset,1,"(1,)",float32
AwakeEventData/EMETER03/Acq/value_units,Dataset,1,"(1,)",|S1
AwakeEventData/EMETER04,Group,,,
AwakeEventData/EMETER04/Acq,Group,,,
AwakeEventData/EMETER04/Acq/outOfRange,Dataset,1,(),bool
AwakeEventData/EMETER04/Acq/value,Dataset,1,"(1,)",float32
AwakeEventData/EMETER04/Acq/value_units,Dataset,1,"(1,)",|S1
AwakeEventData/EMETER05,Group,,,
AwakeEventData/EMETER05/Acq,Group,,,
AwakeEventData/EMETER05/Acq/outOfRange,Dataset,1,(),bool
AwakeEventData/EMETER05/Acq/value,Dataset,1,"(1,)",float32
AwakeEventData/EMETER05/Acq/value_units,Dataset,1,"(1,)",|S1
AwakeEventData/FWHEEL01,Group,,,
AwakeEventData/FWHEEL01/Acq,Group,,,
AwakeEventData/FWHEEL01/Acq/backWheelPositionDescription,Dataset,1,"(1,)",|S6
AwakeEventData/FWHEEL01/Acq/frontWheelPositionDescription,Dataset,1,"(1,)",|S6
AwakeEventData/FWHEEL01/Acq/status,Dataset,1,"(1,)",int32
AwakeEventData/GD_BPM.AWAKE.TRIUMF,Group,,,
AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS,Group,,,
AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/bpmNames,Dataset,14,"(14,)",|S18
AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/horPos,Dataset,14,"(14,)",float32
AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/nbOfBpms,Dataset,1,"(1,)",int32
AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/posOK,Dataset,1,"(1,)",No NumPy equivalent for TypeBitfieldID exists
AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/sigma,Dataset,14,"(14,)",int32
AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/verPos,Dataset,14,"(14,)",float32
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition,Group,,,
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/bpmNames,Dataset,14,"(14,)",|S18
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/horPos,Dataset,14,"(14,)",float32
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/horPosSelected,Dataset,14,"(14,)",float32
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/nbOfBpms,Dataset,1,"(1,)",int32
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/posOK,Dataset,1,"(1,)",No NumPy equivalent for TypeBitfieldID exists
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/posOkSelected,Dataset,0,"(0,)",No NumPy equivalent for TypeBitfieldID exists
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/sigma,Dataset,14,"(14,)",float32
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/sigmaSelected,Dataset,14,"(14,)",int32
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/verPos,Dataset,14,"(14,)",float32
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/verPosSelected,Dataset,14,"(14,)",float32
AwakeEventData/LSSE2,Group,,,
AwakeEventData/LSSE2/Acq,Group,,,
AwakeEventData/LSSE2/Acq/position,Dataset,1,"(1,)",int32
AwakeEventData/LSSP2,Group,,,
AwakeEventData/LSSP2/Acq,Group,,,
AwakeEventData/LSSP2/Acq/position,Dataset,1,"(1,)",int32
AwakeEventData/MPP-TSG41-MIRROR1-H,Group,,,
AwakeEventData/MPP-TSG41-MIRROR1-H/Acquisition,Group,,,
AwakeEventData/MPP-TSG41-MIRROR1-H/Acquisition/position,Dataset,1,"(1,)",int32
AwakeEventData/MPP-TSG41-MIRROR1-V,Group,,,
AwakeEventData/MPP-TSG41-MIRROR1-V/Acquisition,Group,,,
AwakeEventData/MPP-TSG41-MIRROR1-V/Acquisition/position,Dataset,1,"(1,)",int32
AwakeEventData/MPP-TSG41-WHEEL1-BI,Group,,,
AwakeEventData/MPP-TSG41-WHEEL1-BI/Acquisition,Group,,,
AwakeEventData/MPP-TSG41-WHEEL1-BI/Acquisition/position,Dataset,1,"(1,)",int32
AwakeEventData/MPP-VACTRANS-CTR,Group,,,
AwakeEventData/MPP-VACTRANS-CTR/Acquisition,Group,,,
AwakeEventData/MPP-VACTRANS-CTR/Acquisition/mmPosition,Dataset,1,"(1,)",float64
AwakeEventData/MPP-VACTRANS-CTR/Acquisition/position,Dataset,1,"(1,)",int32
AwakeEventData/MPP-VACTRANS-CTR/Acquisition/stepperBusy,Dataset,1,(),bool
AwakeEventData/MPP-VACTRANS-CTR/Acquisition/switchIn,Dataset,1,(),bool
AwakeEventData/MPP-VACTRANS-CTR/Acquisition/switchOut,Dataset,1,(),bool
AwakeEventData/MPP-VACTRANS-OTR,Group,,,
AwakeEventData/MPP-VACTRANS-OTR/Acquisition,Group,,,
AwakeEventData/MPP-VACTRANS-OTR/Acquisition/mmPosition,Dataset,1,"(1,)",float64
AwakeEventData/MPP-VACTRANS-OTR/Acquisition/position,Dataset,1,"(1,)",int32
AwakeEventData/MPP-VACTRANS-OTR/Acquisition/stepperBusy,Dataset,1,(),bool
AwakeEventData/MPP-VACTRANS-OTR/Acquisition/switchIn,Dataset,1,(),bool
AwakeEventData/MPP-VACTRANS-OTR/Acquisition/switchOut,Dataset,1,(),bool
AwakeEventData/MPPAWAKE-STANDA-08.AXIS01,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS01/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS01/Movement/leftLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS01/Movement/position,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS01/Movement/rightLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS02,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS02/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS02/Movement/leftLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS02/Movement/position,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS02/Movement/rightLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS03,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS03/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS03/Movement/leftLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS03/Movement/position,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS03/Movement/rightLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS04,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS04/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS04/Movement/leftLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS04/Movement/position,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS04/Movement/rightLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS09,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS09/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS09/Movement/leftLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS09/Movement/position,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS09/Movement/rightLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS10,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS10/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS10/Movement/leftLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS10/Movement/position,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS10/Movement/rightLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS11,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS11/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS11/Movement/leftLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS11/Movement/position,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS11/Movement/rightLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS12,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS12/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS12/Movement/leftLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS12/Movement/position,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-08.AXIS12/Movement/rightLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS01,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS01/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS01/Movement/leftLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS01/Movement/position,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS01/Movement/rightLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS02,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS02/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS02/Movement/leftLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS02/Movement/position,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS02/Movement/rightLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS03,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS03/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS03/Movement/leftLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS03/Movement/position,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS03/Movement/rightLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS04,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS04/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS04/Movement/leftLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS04/Movement/position,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS04/Movement/rightLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS05,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS05/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS05/Movement/leftLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS05/Movement/position,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS05/Movement/rightLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS06,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS06/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS06/Movement/leftLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS06/Movement/position,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS06/Movement/rightLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS07,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS07/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS07/Movement/leftLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS07/Movement/position,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS07/Movement/rightLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS08,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS08/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS08/Movement/leftLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS08/Movement/position,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS08/Movement/rightLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS09,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS09/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS09/Movement/leftLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS09/Movement/position,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS09/Movement/rightLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS10,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS10/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS10/Movement/leftLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS10/Movement/position,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS10/Movement/rightLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS11,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS11/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS11/Movement/leftLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS11/Movement/position,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS11/Movement/rightLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS12,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS12/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS12/Movement/leftLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS12/Movement/position,Dataset,1,(),|S128
AwakeEventData/MPPAWAKE-STANDA-12.AXIS12/Movement/rightLimitSwitchReached,Dataset,1,(),|S128
AwakeEventData/PMOTOR01,Group,,,
AwakeEventData/PMOTOR01/Acquisition,Group,,,
AwakeEventData/PMOTOR01/Acquisition/position,Dataset,1,"(1,)",int32
AwakeEventData/PMOTOR02,Group,,,
AwakeEventData/PMOTOR02/Acquisition,Group,,,
AwakeEventData/PMOTOR02/Acquisition/position,Dataset,1,"(1,)",int32
AwakeEventData/PMOTOR03,Group,,,
AwakeEventData/PMOTOR03/Acquisition,Group,,,
AwakeEventData/PMOTOR03/Acquisition/position,Dataset,1,"(1,)",int32
AwakeEventData/PMOTOR04,Group,,,
AwakeEventData/PMOTOR04/Acquisition,Group,,,
AwakeEventData/PMOTOR04/Acquisition/position,Dataset,1,"(1,)",int32
AwakeEventData/PMOTOR05,Group,,,
AwakeEventData/PMOTOR05/Acquisition,Group,,,
AwakeEventData/PMOTOR05/Acquisition/position,Dataset,1,"(1,)",int32
